Tên C?p Ð?	??ã??°ìº	??éé??é??ê?ú	Phân lo?i c?p d?	Mã thu?c tính option	giá tr? nh? nh?t	Giá tr? cao nh?t	²??ý2ì?éA?à	²??ý2ì?´ú?à	²??ý3ì?éA?à	²??ý3ì?´ú?à	Tên thu?c tính option	t? l? th?p nh?t	t? l? cao nh?t	¿??ì	???á	??Á´	?Oì?	??´?	Íã¿?	?ÔÍú	??ì?	Â?
Ng?c d?	0	1	4	103	5	10	-1	-1	0	0	Tang kháng Lôi	400000	400000	400000	400000	400000	400000	400000	400000	400000	400000	0
Hoàng B?oTh?ch	0	1	7	103	10	15	-1	-1	0	0	Tang kháng Lôi	300000	300000	300000	300000	300000	300000	300000	300000	300000	300000	0
Hoàng Ng?c 	0	1	8	103	15	20	-1	-1	0	0	Tang kháng Lôi	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0
Lam Th?y Tinh	0	1	10	103	20	30	-1	-1	0	0	Tang kháng Lôi	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
BangTinh 	0	2	3	134	2	6	-1	-1	0	0	H?p th? bang sát (chuy?n hóa, nâng cao n?i l?c ) 	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	0
Bang Phách	0	2	6	134	6	10	-1	-1	0	0	H?p th? bang sát (chuy?n hóa, nâng cao n?i l?c ) 	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	0
Bang Th?n 	0	2	10	134	10	15	-1	-1	0	0	H?p th? bang sát (chuy?n hóa, nâng cao n?i l?c ) 	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	0
Th? ch?t	0	2	1	99	1	2	-1	-1	0	0	Tang th? l?c 	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
Gian x?o	0	2	2	99	3	4	-1	-1	0	0	Tang th? l?c 	90000	90000	90000	90000	90000	90000	90000	90000	90000	90000	0
Tàn nh?n	0	2	3	99	5	6	-1	-1	0	0	Tang th? l?c 	80000	80000	80000	80000	80000	80000	80000	80000	80000	80000	0
Tham lam	0	2	4	99	7	8	-1	-1	0	0	Tang th? l?c 	70000	70000	70000	70000	70000	70000	70000	70000	70000	70000	0
Hung b?o	0	2	5	99	9	10	-1	-1	0	0	Tang th? l?c 	60000	60000	60000	60000	60000	60000	60000	60000	60000	60000	0
Yêu quý 	0	2	6	99	11	12	-1	-1	0	0	Tang th? l?c 	50000	50000	50000	50000	50000	50000	50000	50000	50000	50000	0
Mãnh h? 	0	2	7	99	13	14	-1	-1	0	0	Tang th? l?c 	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	0
Cá voi	0	2	8	99	15	16	-1	-1	0	0	Tang th? l?c 	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	0
Linh hi?n	0	2	9	99	17	18	-1	-1	0	0	Tang th? l?c 	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	0
N? Oa 	0	2	10	99	19	20	-1	-1	0	0	Tang th? l?c 	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0
T?nh táo	0	2	4	110	20	20	-1	-1	0	0	Ch?ng choáng	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
T?nh táo	0	2	7	110	30	30	-1	-1	0	0	Ch?ng choáng	75000	75000	75000	75000	75000	75000	75000	75000	75000	75000	0
T?nh táo	0	2	10	110	40	40	-1	-1	0	0	Ch?ng choáng	50000	50000	50000	50000	50000	50000	50000	50000	50000	50000	0
M?c Tinh 	0	1	3	134	2	6	-1	-1	0	0	H?p th? d?c	0	0	1200	1200	1200	1200	1200	1200	1200	1200	0
M?c Phách	0	1	6	134	6	10	-1	-1	0	0	H?p th? d?c	0	0	1200	1200	1200	1200	1200	1200	1200	1200	0
M?c Th?n 	0	1	10	134	10	15	-1	-1	0	0	H?p th? d?c	0	0	1200	1200	1200	1200	1200	1200	1200	1200	0
V?n khí 	0	1	1	135	1	1	-1	-1	0	0	Tang May m?n	0	0	0	10000	10000	0	0	0	0	10000	0
S? may	0	1	2	135	2	2	-1	-1	0	0	Tang May m?n	0	0	0	9000	9000	0	0	0	0	9000	0
Ng?u nhiên	0	1	3	135	3	3	-1	-1	0	0	Tang May m?n	0	0	0	8000	8000	0	0	0	0	8000	0
Co h?i	0	1	4	135	4	4	-1	-1	0	0	Tang May m?n	0	0	0	7000	7000	0	0	0	0	7000	0
V?n m?nh	0	1	5	135	5	5	-1	-1	0	0	Tang May m?n	0	0	0	6000	6000	0	0	0	0	6000	0
G?p may	0	1	6	135	6	6	-1	-1	0	0	Tang May m?n	0	0	0	5000	5000	0	0	0	0	5000	0
Khéo léo	0	1	7	135	7	7	-1	-1	0	0	Tang May m?n	0	0	0	4000	4000	0	0	0	0	4000	0
H?nh phúc	0	1	8	135	8	8	-1	-1	0	0	Tang May m?n	0	0	0	3000	3000	0	0	0	0	3000	0
Ng?o m?n	0	1	9	135	9	9	-1	-1	0	0	Tang May m?n	0	0	0	2000	2000	0	0	0	0	2000	0
Vua Thu?n	0	1	10	135	10	10	-1	-1	0	0	Tang May m?n	0	0	0	1000	1000	0	0	0	0	1000	0
H?a Tinh 	0	3	3	134	2	6	-1	-1	0	0	H?p thu l?a	0	0	1200	0	0	1200	1200	1200	1200	0	0
H?a Phách	0	3	6	134	6	10	-1	-1	0	0	H?p thu l?a	0	0	1200	0	0	1200	1200	1200	1200	0	0
H?a Th?n 	0	3	10	134	10	15	-1	-1	0	0	H?p thu l?a	0	0	1200	0	0	1200	1200	1200	1200	0	0
?m áp	0	3	3	106	20	20	-1	-1	0	0	Gi?m th?i gian dóng bang	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
Nhi?t tình	0	3	6	106	30	30	-1	-1	0	0	Gi?m th?i gian dóng bang	75000	75000	75000	75000	75000	75000	75000	75000	75000	75000	0
H?a nhi?t	0	3	10	106	40	40	-1	-1	0	0	không th? dóng bang	50000	50000	50000	50000	50000	50000	50000	50000	50000	50000	0
Linh ho?t	0	3	1	98	1	2	-1	-1	0	0	Tang nhanh nh?n	0	0	100000	100000	100000	100000	100000	100000	100000	100000	0
Khéo léo	0	3	2	98	3	4	-1	-1	0	0	Tang nhanh nh?n	0	0	90000	90000	90000	90000	90000	90000	90000	90000	0
Nh?y bén	0	3	3	98	5	6	-1	-1	0	0	Tang nhanh nh?n	0	0	80000	80000	80000	80000	80000	80000	80000	80000	0
Th?c luy?n	0	3	4	98	7	8	-1	-1	0	0	Tang nhanh nh?n	0	0	70000	70000	70000	70000	70000	70000	70000	70000	0
Khéo léo	0	3	5	98	9	10	-1	-1	0	0	Tang nhanh nh?n	0	0	60000	60000	60000	60000	60000	60000	60000	60000	0
Chính xác	0	3	6	98	11	12	-1	-1	0	0	Tang nhanh nh?n	0	0	50000	50000	50000	50000	50000	50000	50000	50000	0
Chính xác	0	3	7	98	13	14	-1	-1	0	0	Tang nhanh nh?n	0	0	40000	40000	40000	40000	40000	40000	40000	40000	0
Thanh Phong 	0	3	8	98	15	16	-1	-1	0	0	Tang nhanh nh?n	0	0	30000	30000	30000	30000	30000	30000	30000	30000	0
Gió bão	0	3	9	98	17	18	-1	-1	0	0	Tang nhanh nh?n	0	0	20000	20000	20000	20000	20000	20000	20000	20000	0
T?t Ði?n 	0	3	10	98	19	20	-1	-1	0	0	Tang nhanh nh?n	0	0	10000	10000	10000	10000	10000	10000	10000	10000	0
Th? Tinh 	0	4	3	134	2	6	-1	-1	0	0	H?p thu di?n	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	0
Th? Phách	0	4	6	134	6	10	-1	-1	0	0	H?p thu di?n	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	0
Th? Th?n 	0	4	10	134	10	15	-1	-1	0	0	H?p thu di?n	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	0
Linh X? 	0	4	4	108	20	20	-1	-1	0	0	Gi?m th?i gian trúng d?c	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
Tê Giác 	0	4	6	108	30	30	-1	-1	0	0	Gi?m th?i gian trúng d?c	75000	75000	75000	75000	75000	75000	75000	75000	75000	75000	0
Sò d?	0	4	10	108	40	40	-1	-1	0	0	Gi?m th?i gian trúng d?c	50000	50000	50000	50000	50000	50000	50000	50000	50000	50000	0
Kim ý 	0	0	2	140	1	1	-1	-1	0	0	Tang K? nang h? Kim	0	0	0	0	0	0	0	0	0	0	0
Kim tính	0	0	4	140	2	2	-1	-1	0	0	Tang K? nang h? Kim	0	0	0	0	0	0	0	0	0	0	0
Kim v?n	0	0	6	140	3	3	-1	-1	0	0	Tang K? nang h? Kim	0	0	0	0	0	0	0	0	0	0	0
Kim khí 	0	0	8	140	4	4	-1	-1	0	0	Tang K? nang h? Kim	0	0	0	0	0	0	0	0	0	0	0
Kim tâm	0	0	10	140	5	5	-1	-1	0	0	Tang K? nang h? Kim	0	0	0	0	0	0	0	0	0	0	0
Th?y ý 	0	2	2	142	1	1	-1	-1	0	0	Tang K? nang h? Th?y	0	0	0	0	0	0	0	0	0	0	0
Th?y tính	0	2	4	142	2	2	-1	-1	0	0	Tang K? nang h? Th?y	0	0	0	0	0	0	0	0	0	0	0
Th?y v?n	0	2	6	142	3	3	-1	-1	0	0	Tang K? nang h? Th?y	0	0	0	0	0	0	0	0	0	0	0
Th?y khí 	0	2	8	142	4	4	-1	-1	0	0	Tang K? nang h? Th?y	0	0	0	0	0	0	0	0	0	0	0
Th?y tâm	0	2	10	142	5	5	-1	-1	0	0	Tang K? nang h? Th?y	0	0	0	0	0	0	0	0	0	0	0
M?c ý 	0	1	2	141	1	1	-1	-1	0	0	Tang K? nang h? M?c	0	0	0	0	0	0	0	0	0	0	0
M?c tính	0	1	4	141	2	2	-1	-1	0	0	Tang K? nang h? M?c	0	0	0	0	0	0	0	0	0	0	0
M?c v?n	0	1	6	141	3	3	-1	-1	0	0	Tang K? nang h? M?c	0	0	0	0	0	0	0	0	0	0	0
M?c khí 	0	1	8	141	4	4	-1	-1	0	0	Tang K? nang h? M?c	0	0	0	0	0	0	0	0	0	0	0
M?c tâm	0	1	10	141	5	5	-1	-1	0	0	Tang K? nang h? M?c	0	0	0	0	0	0	0	0	0	0	0
H?a ý 	0	3	2	143	1	1	-1	-1	0	0	Tang K? nang h? H?a	0	0	0	0	0	0	0	0	0	0	0
H?a tính	0	3	4	143	2	2	-1	-1	0	0	Tang K? nang h? H?a	0	0	0	0	0	0	0	0	0	0	0
H?a v?n	0	3	6	143	3	3	-1	-1	0	0	Tang K? nang h? H?a	0	0	0	0	0	0	0	0	0	0	0
H?a khí 	0	3	8	143	4	4	-1	-1	0	0	Tang K? nang h? H?a	0	0	0	0	0	0	0	0	0	0	0
H?a tâm	0	3	10	143	5	5	-1	-1	0	0	Tang K? nang h? H?a	0	0	0	0	0	0	0	0	0	0	0
Th? ý 	0	4	2	144	1	1	-1	-1	0	0	Tang K? nang h? Th? 	0	0	0	0	0	0	0	0	0	0	0
Th? tính	0	4	4	144	2	2	-1	-1	0	0	Tang K? nang h? Th? 	0	0	0	0	0	0	0	0	0	0	0
Th? v?n	0	4	6	144	3	3	-1	-1	0	0	Tang K? nang h? Th? 	0	0	0	0	0	0	0	0	0	0	0
Th? khí 	0	4	8	144	4	4	-1	-1	0	0	Tang K? nang h? Th? 	0	0	0	0	0	0	0	0	0	0	0
Th? tâm	0	4	10	144	5	5	-1	-1	0	0	Tang K? nang h? Th? 	0	0	0	0	0	0	0	0	0	0	0
Kim Ma 	0	0	1	168	1	20	-1	-1	0	0	Tang Sát thuong h? Kim	2000	2000	0	0	0	0	0	0	0	0	0
Kim Ma 	0	0	2	168	20	40	-1	-1	0	0	Tang Sát thuong h? Kim	2000	2000	0	0	0	0	0	0	0	0	0
Kim Ma 	0	0	3	168	40	60	-1	-1	0	0	Tang Sát thuong h? Kim	2000	2000	0	0	0	0	0	0	0	0	0
Kim Ma 	0	0	4	168	60	80	-1	-1	0	0	Tang Sát thuong h? Kim	2000	2000	0	0	0	0	0	0	0	0	0
Kim Ma 	0	0	5	168	80	100	-1	-1	0	0	Tang Sát thuong h? Kim	2000	2000	0	0	0	0	0	0	0	0	0
Kim Ma 	0	0	6	168	100	120	-1	-1	0	0	Tang Sát thuong h? Kim	1800	1800	0	0	0	0	0	0	0	0	0
Kim Ma 	0	0	7	168	120	140	-1	-1	0	0	Tang Sát thuong h? Kim	1600	1600	0	0	0	0	0	0	0	0	0
Kim Ma 	0	0	8	168	140	160	-1	-1	0	0	Tang Sát thuong h? Kim	1400	1400	0	0	0	0	0	0	0	0	0
Kim Ma 	0	0	9	168	160	180	-1	-1	0	0	Tang Sát thuong h? Kim	1200	1200	0	0	0	0	0	0	0	0	0
Kim Ma 	0	0	10	168	180	200	-1	-1	0	0	Tang Sát thuong h? Kim	1000	1000	0	0	0	0	0	0	0	0	0
Th?y Ma 	0	2	1	169	1	20	-1	-1	0	0	Tang Sát thuong h? Th?y	2000	2000	0	0	0	0	0	0	0	0	0
Th?y Ma 	0	2	2	169	20	40	-1	-1	0	0	Tang Sát thuong h? Th?y	2000	2000	0	0	0	0	0	0	0	0	0
Th?y Ma 	0	2	3	169	40	60	-1	-1	0	0	Tang Sát thuong h? Th?y	2000	2000	0	0	0	0	0	0	0	0	0
Th?y Ma 	0	2	4	169	60	80	-1	-1	0	0	Tang Sát thuong h? Th?y	2000	2000	0	0	0	0	0	0	0	0	0
Th?y Ma 	0	2	5	169	80	100	-1	-1	0	0	Tang Sát thuong h? Th?y	2000	2000	0	0	0	0	0	0	0	0	0
Th?y Ma 	0	2	6	169	100	120	-1	-1	0	0	Tang Sát thuong h? Th?y	1800	1800	0	0	0	0	0	0	0	0	0
Th?y Ma 	0	2	7	169	120	140	-1	-1	0	0	Tang Sát thuong h? Th?y	1600	1600	0	0	0	0	0	0	0	0	0
Th?y Ma 	0	2	8	169	140	160	-1	-1	0	0	Tang Sát thuong h? Th?y	1400	1400	0	0	0	0	0	0	0	0	0
Th?y Ma 	0	2	9	169	160	180	-1	-1	0	0	Tang Sát thuong h? Th?y	1200	1200	0	0	0	0	0	0	0	0	0
Th?y Ma 	0	2	10	169	180	200	-1	-1	0	0	Tang Sát thuong h? Th?y	1000	1000	0	0	0	0	0	0	0	0	0
H?a Ma 	0	3	1	170	1	20	-1	-1	0	0	Tang Sát thuong h? H?a	2000	2000	0	0	0	0	0	0	0	0	0
H?a Ma 	0	3	2	170	20	40	-1	-1	0	0	Tang Sát thuong h? H?a	2000	2000	0	0	0	0	0	0	0	0	0
H?a Ma 	0	3	3	170	40	60	-1	-1	0	0	Tang Sát thuong h? H?a	2000	2000	0	0	0	0	0	0	0	0	0
H?a Ma 	0	3	4	170	60	80	-1	-1	0	0	Tang Sát thuong h? H?a	2000	2000	0	0	0	0	0	0	0	0	0
H?a Ma 	0	3	5	170	80	100	-1	-1	0	0	Tang Sát thuong h? H?a	2000	2000	0	0	0	0	0	0	0	0	0
H?a Ma 	0	3	6	170	100	120	-1	-1	0	0	Tang Sát thuong h? H?a	1800	1800	0	0	0	0	0	0	0	0	0
H?a Ma 	0	3	7	170	120	140	-1	-1	0	0	Tang Sát thuong h? H?a	1600	1600	0	0	0	0	0	0	0	0	0
H?a Ma 	0	3	8	170	140	160	-1	-1	0	0	Tang Sát thuong h? H?a	1400	1400	0	0	0	0	0	0	0	0	0
H?a Ma 	0	3	9	170	160	180	-1	-1	0	0	Tang Sát thuong h? H?a	1200	1200	0	0	0	0	0	0	0	0	0
H?a Ma 	0	3	10	170	180	200	-1	-1	0	0	Tang Sát thuong h? H?a	1000	1000	0	0	0	0	0	0	0	0	0
Th? Ma 	0	4	1	171	1	20	-1	-1	0	0	Tang Sát thuong h? Th? 	2000	2000	0	0	0	0	0	0	0	0	0
Th? Ma 	0	4	2	171	20	40	-1	-1	0	0	Tang Sát thuong h? Th? 	2000	2000	0	0	0	0	0	0	0	0	0
Th? Ma 	0	4	3	171	40	60	-1	-1	0	0	Tang Sát thuong h? Th? 	2000	2000	0	0	0	0	0	0	0	0	0
Th? Ma 	0	4	4	171	60	80	-1	-1	0	0	Tang Sát thuong h? Th? 	2000	2000	0	0	0	0	0	0	0	0	0
Th? Ma 	0	4	5	171	80	100	-1	-1	0	0	Tang Sát thuong h? Th? 	2000	2000	0	0	0	0	0	0	0	0	0
Th? Ma 	0	4	6	171	100	120	-1	-1	0	0	Tang Sát thuong h? Th? 	1800	1800	0	0	0	0	0	0	0	0	0
Th? Ma 	0	4	7	171	120	140	-1	-1	0	0	Tang Sát thuong h? Th? 	1600	1600	0	0	0	0	0	0	0	0	0
Th? Ma 	0	4	8	171	140	160	-1	-1	0	0	Tang Sát thuong h? Th? 	1400	1400	0	0	0	0	0	0	0	0	0
Th? Ma 	0	4	9	171	160	180	-1	-1	0	0	Tang Sát thuong h? Th? 	1200	1200	0	0	0	0	0	0	0	0	0
Th? Ma 	0	4	10	171	180	200	-1	-1	0	0	Tang Sát thuong h? Th? 	1000	1000	0	0	0	0	0	0	0	0	0
M?c Ma 	0	1	1	172	1	5	-1	-1	0	0	Tang sát thuong h? M?c	2000	2000	0	0	0	0	0	0	0	0	0
M?c Ma 	0	1	2	172	5	10	-1	-1	0	0	Tang sát thuong h? M?c	2000	2000	0	0	0	0	0	0	0	0	0
M?c Ma 	0	1	3	172	10	15	-1	-1	0	0	Tang sát thuong h? M?c	2000	2000	0	0	0	0	0	0	0	0	0
M?c Ma 	0	1	4	172	15	20	-1	-1	0	0	Tang sát thuong h? M?c	2000	2000	0	0	0	0	0	0	0	0	0
M?c Ma 	0	1	5	172	20	25	-1	-1	0	0	Tang sát thuong h? M?c	2000	2000	0	0	0	0	0	0	0	0	0
M?c Ma 	0	1	6	172	25	30	-1	-1	0	0	Tang sát thuong h? M?c	1800	1800	0	0	0	0	0	0	0	0	0
M?c Ma 	0	1	7	172	30	35	-1	-1	0	0	Tang sát thuong h? M?c	1600	1600	0	0	0	0	0	0	0	0	0
M?c Ma 	0	1	8	172	35	40	-1	-1	0	0	Tang sát thuong h? M?c	1400	1400	0	0	0	0	0	0	0	0	0
M?c Ma 	0	1	9	172	40	45	-1	-1	0	0	Tang sát thuong h? M?c	1200	1200	0	0	0	0	0	0	0	0	0
M?c Ma 	0	1	10	172	45	50	-1	-1	0	0	Tang sát thuong h? M?c	1000	1000	0	0	0	0	0	0	0	0	0
